topic_id,title,query,desc
55,自衛隊,自衛隊,
56,NHK,NHK,
57,博物館,博物館,
58,賃上げ,賃上げ;最低賃金;賃金 引上げ;賃金 上昇;実質賃金,
59,消費税引下げ,消費税 引下げ;消費税 減税,
60,ニュークリア・シェアリング,核共有;ニュークリアシェアリング,
61,子ども 一時保護,一時保護,
62,研究者,研究者;研究員;研究力;博士,
63,サイバーセキュリティ,サイバー;セキュリティ,
64,児童虐待,児童虐待,
65,キャッシュレス,キャッシュレス,
66,半導体,半導体,
67,米軍,米軍,
69,アダルトビデオ,アダルトビデオ;AV,
70,民事訴訟 IT化,民事訴訟 IT化,
71,省エネ,省エネ;ZEH;ZEB,
72,いじめ,いじめ,
73,地震,地震,
74,沖縄振興,沖縄振興,
75,プラスチック,プラスチック,
76,消費者契約法,消費者契約,
77,気候変動,気候変動,
78,レアアース,レアアース;レアメタル,
79,電力逼迫,電力 逼迫;電力 供給,
80,再生可能エネルギー,再生可能エネルギー;再エネ,
81,水際対策,水際対策;水際措置;水際規制,
82,小学校,小学校;小1,
83,参議院合同選挙区,合区,
84,円安,円安,
85,太陽光発電,太陽光発電;太陽光パネル;ソーラーパネル,
86,アフリカ,アフリカ,
87,ジェンダー,ジェンダー;男女;LGBT,
88,構造改革特区,構造改革特区;構造改革特別区域,
89,里親,里親,
90,地方創生,地方創生,
91,インボイス制度,インボイス,
92,農地集積,農地 集積;農地 取得,
93,盛土,盛土,
94,ミサイル,ミサイル,
95,子育て支援 所得制限,子 所得制限;児 所得制限,
96,地球温暖化,温暖化,
97,スマート保安,スマート保安;高圧ガス保安,
98,固定価格買取制度（FIT）,FIT,
99,虐待,虐待,
100,個人情報保護,個人情報,
101,持続可能な航空燃料 (SAF),SAF,
102,バリアフリー,バリアフリー;車椅子;段差,
103,クールジャパン機構,クールジャパン機構;ラフ・アンド・ピース・マザー,
104,日銀,日銀;日本銀行,
105,農家,農家;農業経営;農業女子,
106,漁業者,漁業者;水産女子,
107,幼稚園 保育園,幼稚園;保育園;幼保;保育士,
108,教員,教員;教職,
109,医療従事者,医療従事者;医師;薬剤師;看護師;保健師,
110,公務員,公務員,
111,年金,年金,
112,人口減少,人口 減少;高齢化;少子化,
113,OIST,OIST,
114,補正予算,補正予算,
115,ふるさと納税,ふるさと納税,
116,病院,病院;保健所,
117,イノベーション,イノベーション,
118,スタートアップ,スタートアップ;起業,
119,ゲノム編集,ゲノム編集,ゲノム編集とは狙った遺伝子を意図的に変化させることで、効率的な品種改良が期待できる新しい育種技術です。
